orden;token;cat1;lema
30247;baldío;n;baldío
30248;doctoró;v;doctorar
30249;guardapolvos;n;guardapolvo
30250;mordiscos;n;mordisco
30251;presto;j;presto
30252;casetes;n;casete
30253;carismático;j;carismático
30254;sobrante;j;sobrante
30255;iracundo;j;iracundo
30256;apuesto;j;apuesto
30257;nácar;n;nácar
30258;horrendo;j;horrendo
30259;hepáticas;j;hepática
30260;quiosco;n;quiosco
30261;familiarizado;v;familiarizar
30262;mozos;j;mozo
30263;arrolladora;j;arrollador
30264;arbóreas;j;arbóreo
30265;alabanzas;n;alabanza
30266;magra;j;magro
30267;olmos;n;olmo
30268;literato;n;literato
30269;adjetivos;j;adjetivo
30270;deforme;j;deforme
30271;antipático;j;antipático
30272;serenata;n;serenata
30273;inválido;n;inválido
30274;ganso;n;ganso
30275;bolsón;n;bolsón
30276;insoluble;j;insoluble
30277;pentagramas;n;pentagrama
30278;ampliadas;j;ampliado
30279;largometrajes;n;largometraje
30280;pavoroso;j;pavoroso
30281;estival;j;estival
30282;arcadas;n;arcada
30283;fatídico;j;fatídico
30284;beligerante;j;beligerante
30285;sumadas;j;sumado
30286;atasco;n;atasco
30287;apuntalar;v;apuntalar
30288;envites;n;envite
30289;becario;j;becario
30290;sinvergüenza;n;sinvergüenza
30291;amargado;j;amargado
30292;pacifista;j;pacifista
30293;pepino;n;pepino
30294;salamandras;n;salamandra
30295;serranía;n;serranía
30296;uruguayos;n;uruguayo
30297;tirador;n;tirador
30298;aglutinante;j;aglutinante
30299;arrabal;n;arrabal
30300;equívoco;n;equívoco
30301;raja;n;raja
30302;controlador;n;controlador
30303;licuado;v;licuar
30304;arrendatarios;j;arrendatario
30305;embutidos;v;embutir
30306;operarios;n;operario
30307;rectificación;n;rectificación
30308;predicativo;j;predicativo
30309;cuneta;n;cuneta
30310;ramillete;n;ramillete
30311;enjuto;j;enjuto
30312;tropezones;n;tropezón
30313;asa;n;asa
30314;fibroso;j;fibroso
30315;jornal;n;jornal
30316;paleontólogos;n;paleontólogo
30317;insustituible;j;insustituible
30318;inerme;j;inerme
30319;milésimas;n;milésimo
30320;fogonazo;n;fogonazo
30321;cafetín;n;cafetín
30322;zumo;n;zumo
30323;comuneros;j;comunero
30324;romería;n;romería
30325;abominable;j;abominable
30326;pinacoteca;n;pinacoteca
30327;asiria;j;asirio
30328;techumbre;n;techumbre
30329;hebilla;n;hebilla
30330;rebanadas;j;rebanado
30331;párroco;j;párroco
30332;cerezo;n;cerezo
30333;extra;n;extra
30334;cartulina;n;cartulina
30335;goteras;n;gotera
30336;solvente;j;solvente
30337;apetecible;j;apetecible
30338;frontón;n;frontón
30339;diversificada;j;diversificado
30340;firmantes;n;firmante
30341;arcángel;n;arcángel
30342;prédica;n;prédica
30343;pretendida;j;pretendido
30344;coito;n;coito
30345;corsé;n;corsé
30346;tripartita;j;tripartito
30347;epistolar;j;epistolar
30348;yuxtaposición;n;yuxtaposición
30349;oratorios;j;oratorio
30350;empedernido;j;empedernido
30351;gruñido;n;gruñido
30352;cuadrícula;n;cuadrícula
30353;rebozo;n;rebozo
30354;intemporal;j;intemporal
30355;contencioso;j;contencioso
30356;fruncido;j;fruncido
30357;suplicante;j;suplicante
30358;serrucho;n;serrucho
30359;silos;n;silo
30360;aplazamiento;n;aplazamiento
30361;consorte;n;consorte
30362;condescendiente;j;condescendiente
30363;agobio;n;agobio
30364;irritable;j;irritable
30365;sota;n;sota
30366;ferretería;n;ferretería
30367;maleficio;n;maleficio
30368;contrasentido;n;contrasentido
30369;despilfarro;n;despilfarro
30370;condolencias;n;condolencia
30371;gamuza;n;gamuza
30372;hormigueo;n;hormigueo
30373;ben;n;ben
30374;retrete;n;retrete
30375;hato;n;hato
30376;canónigo;n;canónigo
30377;parcialidad;n;parcialidad
30378;jacinto;n;jacinto
30379;rentistas;n;rentista
30380;apoplejía;n;apoplejía
30381;noria;n;noria
30382;floresta;n;floresta
30383;mordaza;n;mordaza
30384;incesto;n;incesto
30385;flotilla;n;flotilla
30386;metralla;n;metralla
30387;educando;n;educando
30388;tranquera;n;tranquera
30389;descargo;n;descargo
30390;le;p;le
30391;rada;n;rada
30392;mogollón;n;mogollón
30393;bambalinas;n;bambalina
30394;contrición;n;contrición
30395;posdata;n;posdata
30396;empacho;n;empacho
30397;zapote;n;zapote
30398;manufacturera;j;manufacturero
30399;rosaura;n;rosaura
30400;calificados;j;calificado
30401;prematuramente;r;prematuramente
30402;consumación;n;consumación
30403;garza;n;garza
30404;aseguradoras;n;asegurador
30405;subcampeón;n;subcampeón
30406;médium;n;médium
30407;limpio;-;limpio
30408;estimadas;j;estimado
30409;reinserción;n;reinserción
30410;pardo;n;pardo
30411;made;x;made
30412;concertino;j;concertino
30413;histocompatibilidad;n;histocompatibilidad
30414;viudo;n;viudo
30415;dócilmente;r;dócilmente
30416;primordialmente;r;primordialmente
30417;melania;n;melania
30418;resolana;n;resolano
30419;rellano;n;rellano
30420;dramática;n;dramática
30421;punzón;n;punzón
30422;escolástica;n;escolástica
30423;beneplácito;n;beneplácito
30424;mutilado;n;mutilado
30425;tardecita;n;tardecita
30426;osteoporosis;n;osteoporosis
30427;disimuladamente;r;disimuladamente
30428;short;n;short
30429;nouvelle;n;nouvelle
30430;nubosidad;n;nubosidad
30431;cecilia;n;cecilia
30432;diatomeas;n;diatomea
30433;tacita;n;tacita
30434;enlatados;j;enlatado
30435;reciclado;n;reciclado
30436;orgánulos;n;orgánulo
30437;defendida;j;defendido
30438;tributación;n;tributación
30439;funeraria;n;funeraria
30440;burra;n;burra
30441;marginalidad;n;marginalidad
30442;mateo;n;mateo
30443;ampollas;n;ampolla
30444;cabotaje;n;cabotaje
30445;cigoto;n;cigoto
30446;redescubrimiento;n;redescubrimiento
30447;corresponsal;j;corresponsal
30448;paternalismo;n;paternalismo
30449;desorientación;n;desorientación
30450;mais;n;mais
30451;loable;j;loable
30452;bel;n;bel
30453;aturdimiento;n;aturdimiento
30454;resueltamente;r;resueltamente
30455;cualificación;n;cualificación
30456;desertización;n;desertización
30457;incultura;n;incultura
30458;zoología;n;zoología
30459;soda;n;soda
30460;genovés;j;genovés
30461;neuronales;j;neuronales
30462;toxicidad;n;toxicidad
30463;cuartucho;n;cuartucho
30464;beduinos;n;beduino
30465;ladrada;j;ladrado
30466;marcadamente;r;marcadamente
30467;tritio;n;tritio
30468;telegrafía;n;telegrafía
30469;percibidos;j;percibido
30470;ye;n;ye
30471;comestibles;n;comestible
30472;ocurridas;v;OCURRIDo
30473;guardas;n;guarda
30474;io;n;io
30475;electrificación;n;electrificación
30476;arias;n;arias
30477;zodíaco;n;zodíaco
30478;espasa;n;espasa
30479;hube;v;haber
30480;tenerlas;v;tener
30481;tenida;v;tener
30482;irás;v;ir
30483;supiste;v;saber
30484;paises;n;país
30485;debimos;v;deber
30486;encontraste;v;encontrar
30487;ponés;v;poner
30488;dejándola;v;dejar
30489;dejarte;v;dejar
30490;quedándose;v;quedar
30491;llames;v;llamar
30492;salidos;v;salir
30493;conocerlos;v;conocer
30494;conocías;v;conocer
30495;preguntes;v;preguntar
30496;sentirá;v;sentir
30497;trabajará;v;trabajar
30498;existo;v;existir
30499;escribes;v;escribir
30500;cuentes;v;contar
30501;presentaría;v;presentar
30502;consideras;v;considerar
30503;formarán;v;formar
30504;ganen;v;ganar
30505;sentara;v;sentar
30506;logradas;v;lograr
30507;terminarse;v;terminar
30508;entendamos;v;entender
30509;estudien;v;estudiar
30510;dirigimos;v;dirigir
30511;ocupen;v;ocupar
30512;dedicará;v;dedicar
30513;dedicas;v;dedicar
30514;cumplirán;v;cumplir
30515;trajimos;v;traer
30516;señalo;v;señalar
30517;pagara;v;pagar
30518;usen;v;usar
30519;comiera;v;comer
30520;meterla;v;meter
30521;construirá;v;construir
30522;ayudarán;v;ayudar
30523;detendrá;v;detener
30524;detenerla;v;detener
30525;detenían;v;detener
30526;sufrirá;v;sufrir
30527;dormidas;v;dormir
30528;olvidarme;v;olvidar
30529;olvidas;v;olvidar
30530;acordando;v;acordar
30531;repetimos;v;repetir
30532;vendemos;v;vender
30533;echarme;v;echar
30534;obligue;v;obligar
30535;cerramos;v;cerrar
30536;reúnan;v;reunir
30537;mataban;v;matar
30538;escritoras;n;escritor
30539;abandonados;v;abandonar
30540;informarle;v;informar
30541;significaron;v;significar
30542;separarnos;v;separar
30543;enviara;v;enviar
30544;resolverlos;v;resolver
30545;entregaban;v;entregar
30546;declare;v;declarar
30547;adquiera;v;adquirir
30548;afectadas;v;afectar
30549;cortes;v;cortar
30550;pertenecieron;v;pertenecer
30551;contestara;v;contestar
30552;poesía;n;poesía
30553;viajamos;v;viajar
30554;viajo;v;viajar
30555;costara;v;costar
30556;café;n;café
30557;ciudadana;n;ciudadano
30558;preocupaban;v;preocupar
30559;preocupara;v;preocupar
30560;quepa;v;caber
30561;encargo;v;encargar
30562;cité;v;citar
30563;caracterizaban;v;caracterizar
30564;trasladaban;v;trasladar
30565;respetadas;v;respetar
30566;procedieron;v;proceder
30567;arrastraron;v;arrastrar
30568;probaron;v;probar
30569;probé;v;probar
30570;pegaban;v;pegar
30571;merezca;v;merecer
30572;merezco;v;merecer
30573;satisfaga;v;satisfacer
30574;envolvían;v;envolver
30575;aportaba;v;aportar
30576;comunicarnos;v;comunicar
30577;fija;j;fijo
30578;voto;v;votar
30579;mientes;n;mente
30580;devuelvan;v;devolver
30581;gobernaban;v;gobernar
30582;garantizando;v;garantizar
30583;despiden;v;despedir
30584;inventadas;v;inventar
30585;sumaba;v;sumar
30586;sumada;v;sumar
30587;invadidos;v;invadir
30588;encabezan;v;encabezar
30589;percibimos;v;percibir
30590;quemaban;v;quemar
30591;elaboradas;v;elaborar
30592;calculaba;v;calcular
30593;confundiendo;v;confundir
30594;renuncio;v;renunciar
30595;callan;v;callar
30596;inspiran;v;inspirar
30597;convino;v;convenir
30598;besaron;v;besar
30599;abrazan;v;abrazar
30600;descansó;v;descansar
30601;adelantando;v;adelantar
30602;inauguraron;v;inaugurar
30603;pasean;v;pasear
30604;habitaron;v;habitar
30605;rendirle;v;rendir
30606;limpiado;v;limpiar
30607;disparados;v;disparar
30608;escogieron;v;escoger
30609;apagarse;v;apagar
30610;dictará;v;dictar
30611;dicte;v;dictar
30612;estallaba;v;estallar
30613;estallado;v;estallar
30614;brindando;v;brindar
30615;aguantado;v;aguantar
30616;estimulaba;v;estimular
30617;estimulados;v;estimular
30618;dibujada;v;dibujar
30619;castellana;n;castellano
30620;tabacos;n;tabaco
30621;brillaron;v;brillar
30622;renacimiento;n;renacimiento
30623;renovados;v;renovar
30624;exhibían;v;exhibir
30625;exhibieron;v;exhibir
30626;contratan;v;contratar
30627;socio;n;socio
30628;divierten;v;divertir
30629;pasaje;n;pasaje
30630;atrapó;v;atrapar
30631;consolidando;v;consolidar
30632;terrores;n;terror
30633;prendieron;v;prender
30634;asustaron;v;asustar
30635;estrenará;v;estrenar
30636;doblaron;v;doblar
30637;protestaba;v;protestar
30638;clavaba;v;clavar
30639;multiplicó;v;multiplicar
30640;proseguía;v;proseguir
30641;sobraban;v;sobrar
30642;morenas;j;moreno
30643;respaldos;n;respaldo
30644;cuestionados;v;cuestionar
30645;evaluando;v;evaluar
30646;cenas;n;cena
30647;apostó;v;apostar
30648;ajustaba;v;ajustar
30649;iluminan;v;iluminar
30650;fingido;v;fingir
30651;acentuada;v;acentuar
30652;alargando;v;alargarse
30653;predominaban;v;predominar
30654;sobresalir;v;sobresalir
30655;pescando;v;pescar
30656;ansiedades;n;ansiedad
30657;aludía;v;aludir
30658;entusiasmaba;v;entusiasmar
30659;sistemáticos;j;sistemático
30660;sacrificados;v;sacrificar
30661;sacrificarse;v;sacrificar
30662;restó;v;restar
30663;englobaba;v;englobar
30664;englobar;v;englobar
30665;burlado;v;burlar
30666;tigre;n;tigre
30667;aplaudía;v;aplaudir
30668;aplaudían;v;aplaudir
30669;resumió;v;resumir
30670;gamas;n;gama
30671;precipitan;v;precipitar
30672;transfieren;v;transferir
30673;ensaya;v;ensayar
30674;destrozada;v;destrozar
30675;rutinas;n;rutina
30676;inquietas;j;inquieto
30677;psicóloga;n;psicólogo
30678;teñidas;v;teñir
30679;teñidos;v;teñir
30680;disimula;v;disimular
30681;irlandeses;j;irlandés
30682;unificó;v;unificar
30683;resbalaba;v;resbalar
30684;agravar;v;agravar
30685;exilió;v;exiliar
30686;acta;n;acta
30687;enfriarse;v;enfriar
30688;velando;v;velar
30689;gradúa;v;graduar
30690;alterna;v;alternar
30691;trepa;v;trepar
30692;repentinas;j;repentino
30693;repentinos;j;repentino
30694;radicaba;v;radicar
30695;remiten;v;remitir
30696;configurado;v;configurar
30697;coso;v;coser
30698;insinuar;v;insinuar
30699;vibran;v;vibrar
30700;ahorrado;v;ahorrar
30701;oscureciendo;v;oscurecer
30702;barrido;v;barrer
30703;consolaba;v;consolar
30704;mojar;v;mojar
30705;resonaban;v;resonar
30706;dispersan;v;dispersar
30707;envidias;n;envidia
30708;discretas;j;discreto
30709;regado;v;regar
30710;regando;v;regar
30711;apodera;v;apoderar
30712;diluido;v;diluir
30713;archipiélagos;n;archipiélago
30714;quirúrgicos;j;quirúrgico
30715;promulgar;v;promulgar
30716;resignados;v;resignar
30717;recortaba;v;recortar
30718;tóxica;j;tóxico
30719;meditó;v;meditar
30720;ridículos;n;ridículo
30721;tontas;j;tonto
30722;volantes;n;volante
30723;presumía;v;presumir
30724;apurar;v;apurar
30725;empatado;v;empatar
30726;empapados;v;empapar
30727;polémicas;j;polémico
30728;removió;v;remover
30729;martillos;n;martillo
30730;cooperativo;j;cooperativo
30731;criollos;j;criollo
30732;eslavas;j;eslavo
30733;tumbó;v;tumbar
30734;internada;v;internar
30735;indignó;v;indignar
30736;vestuarios;n;vestuario
30737;duraderas;j;duradero
30738;basílicas;n;basílica
30739;innecesarios;j;innecesario
30740;decaer;v;decaer
30741;fatigas;n;fatiga
30742;minoritaria;j;minoritario
30743;sueca;n;sueco
30744;repasando;v;repasar
30745;arbitrarios;j;arbitrario
30746;saludables;j;saludable
30747;gloriosos;j;glorioso
30748;perpetuas;j;perpetuo
30749;agachado;v;agachar
30750;preparatorios;j;preparatorio
30751;exceda;v;exceder
30752;masacres;n;masacre
30753;celosos;j;celoso
30754;contiguos;j;contiguo
30755;rectas;n;recta
30756;meteorológica;j;meteorológico
30757;ofensivos;j;ofensivo
30758;tosco;j;tosco
30759;invoca;v;invocar
30760;preocupantes;j;preocupante
30761;afianzó;v;afianzar
30762;neutros;j;neutro
30763;netas;j;neto
30764;desespera;v;desesperar
30765;interina;j;interino
30766;balanceándose;v;balancear
30767;puñados;n;puñado
30768;hidráulicas;j;hidráulico
30769;tenues;j;tenue
30770;digestivas;j;digestivo
30771;desordenados;j;desordenado
30772;abastecen;v;abastecer
30773;subsecretarios;n;subsecretario
30774;distinguida;j;distinguido
30775;voltajes;n;voltaje
30776;envidio;v;envidiar
30777;liquidado;v;liquidar
30778;subjetivos;j;subjetivo
30779;ingerido;v;ingerir
30780;submarinos;j;submarino
30781;incesantes;j;incesante
30782;destrezas;n;destreza
30783;nacionalizaron;v;nacionalizar
30784;vertebrado;n;vertebrado
30785;explosivo;n;explosivo
30786;esféricos;j;esférico
30787;venenosos;j;venenoso
30788;manifiesta;j;manifiesto
30789;helecho;n;helecho
30790;revestido;v;revestir
30791;casuchas;n;casucha
30792;gallegos;n;gallego
30793;napoleónica;j;napoleónico
30794;imprevistos;j;imprevisto
30795;conflictivo;j;conflictivo
30796;exaltar;v;exaltar
30797;hurgar;v;hurgar
30798;tejidas;j;tejido
30799;escenografías;n;escenografía
30800;empírico;j;empírico
30801;monólogos;n;monólogo
30802;chillar;v;chillar
30803;indefensa;j;indefenso
30804;caldera;n;caldera
30805;ensancha;v;ensanchar
30806;anclado;v;anclar
30807;enderezó;v;enderezar
30808;comparativos;j;comparativo
30809;tiesa;j;tieso
30810;comprensibles;j;comprensible
30811;sumerio;j;sumerio
30812;audiciones;n;audición
30813;anatómico;j;anatómico
30814;pelada;j;pelado
30815;acomodados;j;acomodado
30816;reprochó;v;reprochar
30817;triangulares;j;triangular
30818;enunciado;v;enunciar
30819;sinónimos;j;sinónimo
30820;resecos;j;reseco
30821;derrumbes;n;derrumbe
30822;puntuaciones;n;puntuación
30823;temibles;j;temible
30824;grillo;n;grillo
30825;palpitaba;v;palpitar
30826;desorientada;v;desorientar
30827;ensuciar;v;ensuciar
30828;desértica;j;desértico
30829;condensa;v;condensar
30830;modular;v;modular
30831;semántica;j;semántico
30832;engordar;v;engordar
30833;irlandés;n;irlandés
30834;recortadas;j;recortado
30835;traba;n;traba
30836;estudiadas;j;estudiado
30837;incansables;j;incansable
30838;dobladas;j;doblado
30839;angulares;j;angular
30840;tumultos;n;tumulto
30841;comprime;v;comprimir
30842;auditivo;j;auditivo
30843;babas;n;baba
30844;borradores;n;borrador
30845;pastizal;n;pastizal
30846;descontar;v;descontar
30847;pragmático;j;pragmático
30848;experimentada;j;experimentado
30849;nublados;j;nublado
30850;confiados;j;confiado
30851;anaranjada;j;anaranjado
30852;poseedores;n;poseedor
30853;absorto;j;absorto
30854;patológico;j;patológico
30855;inofensiva;j;inofensivo
30856;voluminosa;j;voluminoso
30857;recónditos;j;recóndito
30858;criadas;n;criada
30859;corporativo;j;corporativo
30860;subdivide;v;subdividir
30861;carnosos;j;carnoso
30862;simétrica;j;simétrico
30863;benéfica;j;benéfico
30864;lacios;j;lacio
30865;estimulantes;j;estimulante
30866;leucemias;n;leucemia
30867;autonómico;j;autonómico
30868;camareros;n;camarero
30869;semejaba;v;semejar
30870;condicionados;j;condicionado
30871;tapizado;v;tapizar
30872;pausado;j;pausado
30873;parlamento;n;parlamento
30874;atónita;j;atónito
30875;estructurar;v;estructurar
30876;lingüistas;n;lingüista
30877;finitas;j;finito
30878;acurrucada;v;acurrucarse
30879;filipina;j;filipino
30880;impropio;j;impropio
30881;burócrata;n;burócrata
30882;incautado;v;incautarse
30883;deprimida;j;deprimido
30884;gorros;n;gorro
30885;precipitada;j;precipitado
30886;aterrador;j;aterrador
30887;trazada;j;trazado
30888;anticuada;j;anticuado
30889;víricas;j;vírico
30890;organizativa;j;organizativo
30891;agredido;v;agredir
30892;miga;n;miga
30893;saldar;v;saldar
30894;andaluza;n;andaluz
30895;dictado;n;dictado
30896;decimales;j;decimal
30897;exacerbado;v;exacerbar
30898;excremento;n;excremento
30899;esotérico;j;esotérico
30900;veraniego;j;veraniego
30901;ondulantes;j;ondulante
30902;rodados;j;rodado
30903;sigilosa;j;sigiloso
30904;milenario;j;milenario
30905;bulliciosa;j;bullicioso
30906;afección;n;afección
30907;veterano;j;veterano
30908;alentador;j;alentador
30909;verjas;n;verja
30910;transportadores;n;transportador
30911;mísero;j;mísero
30912;caños;n;caño
30913;estambre;n;estambre
30914;masajes;n;masaje
30915;guirnalda;n;guirnalda
30916;dispensa;v;dispensar
30917;impertinentes;j;impertinente
30918;cerrojos;n;cerrojo
30919;bioquímicos;j;bioquímico
30920;solapa;n;solapa
30921;copto;j;copto
30922;burda;j;burdo
30923;cuestionarios;n;cuestionario
30924;comparsas;n;comparsa
30925;chabolas;n;chabola
30926;honrosas;j;honroso
30927;revocó;v;revocar
30928;barcas;n;barca
30929;añejo;j;añejo
30930;domesticados;j;domesticado
30931;vidriada;j;vidriado
30932;neurotransmisor;n;neurotransmisor
30933;extinto;j;extinto
30934;propinó;v;propinar
30935;compartimento;n;compartimento
30936;pícara;j;pícaro
30937;resquicios;n;resquicio
30938;superfluo;j;superfluo
30939;mascotas;n;mascota
30940;portentosa;j;portentoso
30941;huérfano;j;huérfano
30942;aseveraciones;n;aseveración
30943;pelusa;n;pelusa
30944;esbozos;n;esbozo
30945;probada;j;probado
30946;caimanes;n;caimán
30947;extremista;j;extremista
30948;rizado;j;rizado
30949;reticencias;n;reticencia
30950;dolorido;j;dolorido
30951;cucharadas;n;cucharada
30952;adoptiva;j;adoptivo
30953;blindados;j;blindado
30954;alabanza;n;alabanza
30955;olmo;n;olmo
30956;literatos;n;literato
30957;puntada;n;puntada
30958;puntadas;n;puntada
30959;mesiánica;j;mesiánico
30960;regata;n;regata
30961;regatas;n;regata
30962;floreada;v;florear
30963;algebraica;j;algebraico
30964;morera;n;morera
30965;custodio;n;custodio
30966;conciliadora;j;conciliador
30967;concursante;n;concursante
30968;condecoraciones;n;condecoración
30969;cortesana;n;cortesana
30970;azarosa;j;azaroso
30971;versátil;j;versátil
30972;burlesco;j;burlesco
30973;carcelario;j;carcelario
30974;extravagancia;n;extravagancia
30975;engrosar;v;engrosar
30976;veda;n;veda
30977;anexos;n;anexo
30978;tallado;n;tallado
30979;aprehender;v;aprehender
30980;ranura;n;ranura
30981;fugitivos;n;fugitivo
30982;indonesio;j;indonesio
30983;postigos;n;postigo
30984;inamovible;j;inamovible
30985;cabalgadura;n;cabalgadura
30986;halagos;n;halago
30987;politizado;j;POLITIZADO
30988;drogadictos;n;drogadicto
30989;folículo;n;folículo
30990;penitente;j;penitente
30991;superpotencias;n;superpotencia
30992;andamios;n;andamio
30993;leño;n;leño
30994;bestia;j;bestia
30995;traumatismo;n;traumatismo
30996;moralista;n;moralista
30997;visitante;j;visitante
30998;capitalizada;j;capitalizado
30999;chorizo;n;chorizo
31000;penalti;n;penalti
31001;recomponer;v;recomponer
31002;habas;n;haba
31003;leguminosas;n;leguminoso
31004;estremecedor;j;estremecedor
31005;replantear;v;replantear
31006;cifrado;j;cifrado
31007;cordobés;j;cordobés
31008;chistoso;j;chistoso
31009;promontorio;n;promontorio
31010;esterlinas;j;esterlina
31011;programadores;n;programador
31012;ebrio;j;ebrio
31013;desafuero;n;desafuero
31014;mejillones;n;mejillón
31015;quiniela;n;quiniela
31016;señorito;n;señorito
31017;tisular;j;tisular
31018;diligente;j;diligente
31019;perecederos;j;perecedero
31020;molares;n;molar
31021;embalaje;n;embalaje
31022;mordaz;j;mordaz
31023;otoñal;j;otoñal
31024;isleños;n;isleño
31025;simposio;n;simposio
31026;danzantes;j;danzante
31027;abismal;j;abismal
31028;lavadora;n;lavadora
31029;esfinge;n;esfinge
31030;percha;n;percha
31031;colecta;n;colecta
31032;afiliadas;j;afiliado
31033;lavadero;n;lavadero
31034;lides;n;lid
31035;escolástica;j;escolástico
31036;zarpazo;n;zarpazo
31037;arameo;j;arameo
31038;rotativo;n;rotativo
31039;machista;j;machista
31040;esmerada;j;esmerado
31041;barcazas;n;barcaza
31042;alpaca;n;alpaca
31043;corso;n;corso
31044;pictogramas;n;pictograma
31045;calçado;n;calado
31046;obturador;n;obturador
31047;rea;j;reo
31048;marquesina;n;marquesina
31049;espárragos;n;espárrago
31050;zancadas;n;zancada
31051;cañerías;n;cañería
31052;pitillo;n;pitillo
31053;recordatorio;n;recordatorio
31054;zorra;n;zorra
31055;pensionistas;n;pensionista
31056;antidepresivos;j;antidepresivo
31057;insufrible;j;insufrible
31058;rúbrica;n;rúbrica
31059;seguidilla;n;seguidilla
31060;ahogo;n;ahogo
31061;pilotes;n;pilote
31062;colchoneta;n;colchoneta
31063;fiero;j;fiero
31064;fonda;n;fonda
31065;escudero;n;escudero
31066;dúctil;j;dúctil
31067;transatlánticos;j;transatlántico
31068;manoseo;n;manoseo
31069;aquelarre;n;aquelarre
31070;area;n;area
31071;papelera;n;papelera
31072;ventanita;n;ventanita
31073;testimonial;j;testimonial
31074;fastos;n;fasto
31075;pandereta;n;pandereta
31076;maníaco;n;maníaco
31077;goleada;n;goleada
31078;mortaja;n;mortaja
31079;calderón;n;calderón
31080;providencial;j;providencial
31081;remera;n;remera
31082;elitista;j;elitista
31083;menosprecio;n;menosprecio
31084;medicación;n;medicación
31085;rulos;n;rulo
31086;orejuela;n;orejuela
31087;perversidad;n;perversidad
31088;pesadez;n;pesadez
31089;habladurías;n;habladuría
31090;apasionamiento;n;apasionamiento
31091;sablazo;n;sablazo
31092;scherzo;n;scherzo
31093;hostería;n;hostería
31094;silbante;j;silbante
31095;deflación;n;deflación
31096;hollín;n;hollín
31097;descontrol;n;descontrol
31098;succión;n;succión
31099;educandos;j;educando
31100;edema;n;edema
31101;exotismo;n;exotismo
31102;determinismo;n;determinismo
31103;canje;n;canje
31104;alborozo;n;alborozo
31105;sesgo;n;sesgo
31106;moraleja;n;moraleja
31107;temeridad;n;temeridad
31108;estoque;n;estoque
31109;desgravación;n;desgravación
31110;chaquetilla;n;chaquetilla
31111;secuencial;j;secuencial
31112;cuasi;n;cuasi
31113;salvavidas;n;salvavidas
31114;calladamente;r;calladamente
31115;bienio;n;bienio
31116;repatriación;n;repatriación
31117;profeso;n;profeso
31118;calvicie;n;calvicie
31119;susceptibilidad;n;susceptibilidad
31120;boys;x;boys
31121;cincel;n;cincel
31122;grandiosidad;n;grandiosidad
31123;distintivo;n;distintivo
31124;campa;j;campa
31125;hum;n;hum
31126;funcionalmente;r;funcionalmente
31127;torreón;n;torreón
31128;crecidas;n;crecida
31129;esófago;n;esófago
31130;tintineo;n;tintineo
31131;estrepitosamente;r;estrepitosamente
31132;boy;n;boy
31133;alonso;n;alonso
31134;teca;n;teca
31135;picaresca;n;picaresca
31136;primerísima;x;primerísima
31137;prevalencia;n;prevalencia
31138;dignamente;r;dignamente
31139;alante;r;alante
31140;hispanoamericanos;n;hispanoamericano
31141;menelao;n;menelao
31142;procreación;n;procreación
31143;distribuidor;j;distribuidor
31144;desecación;n;desecación
31145;anticipadamente;r;anticipadamente
31146;constitucionalmente;r;constitucionalmente
31147;hipnosis;n;hipnosis
31148;coetáneos;n;coetáneo
31149;sacarosa;n;sacarosa
31150;logística;n;logística
31151;preponderancia;n;preponderancia
31152;dátiles;n;dátil
31153;parejas;j;pareja
31154;trastienda;n;trastienda
31155;cupos;n;cupo
31156;crack;x;crack
31157;rosal;n;rosal
31158;termales;j;termal
31159;boro;n;boro
31160;boquita;n;boquita
31161;vol;n;vol
31162;tas;n;tas
31163;institucionalización;n;institucionalización
31164;tabacaleras;j;tabacalero
31165;núñez;n;núñez
31166;majestuosidad;n;majestuosidad
31167;chelo;n;chelo
31168;inmediatez;n;inmediatez
31169;unilateralmente;r;unilateralmente
31170;innecesariamente;r;innecesariamente
31171;eslovaco;j;eslovaco
31172;dificilísimo;j;dificilísimo
31173;calvinista;j;calvinista
31174;bereberes;j;bereberes
31175;ergo;c;ergo
31176;equitación;n;equitación
31177;mana;x;mana
31178;caliente;-;caliente
31179;amazona;n;amazona
31180;suicidado;v;suicidarse
31181;actina;n;actina
31182;evangelistas;n;evangelista
31183;mejía;v;mejer
31184;amour;n;amour
31185;fijeza;n;fijeza
31186;juanita;n;juanita
31187;salvaguarda;n;salvaguarda
31188;expansionismo;n;expansionismo
31189;simbolistas;n;simbolista
31190;motocross;n;motocross
31191;electrónicamente;r;electrónicamente
31192;ea;n;ea
31193;ezequiel;n;ezequiel
31194;acupuntura;n;acupuntura
31195;cirrosis;n;cirrosis
31196;paisajista;n;paisajista
31197;riesgoso;j;riesgoso
31198;esperas;n;espera
31199;polonia;n;polonia
31200;unificador;n;unificador
31201;carola;n;carola
31202;neurología;n;neurología
31203;poza;n;poza
31204;hubiésemos;v;haber
31205;estuviera;v;estar
31206;veríamos;v;ver
31207;darás;v;dar
31208;creerme;v;creer
31209;poníamos;v;poner
31210;llevárselo;v;llevar
31211;dejarles;v;dejar
31212;quedaré;v;quedar
31213;llamaba;v;llamar
31214;trataremos;v;tratar
31215;conocerán;v;conocer
31216;mirás;v;mirar
31217;tipo;n;tipo
31218;existieran;v;existir
31219;empezábamos;v;empezar
31220;escribirse;v;escribir
31221;permitidas;v;permitir
31222;perdiste;v;perder
31223;formara;v;formar
31224;mantenidos;v;mantener
31225;manteniéndose;v;mantener
31226;ganaría;v;ganar
